sentence_id	sentence	locale	reason
00a1d6267be9331bdf80c2509fb21ed731799a32d4079babb16064314545026c	Jis buvo kilęs iš turtingos šeimos ir tai leido jam leido įgyti gerą išsilavinimą.	lt	grammar-or-spelling
00940fa4ebccccdd7ccca39373bac39a6feaeaf9fae384103e6eaf401ef64939	Portugalų kalba "porto novo" reiškia „naujas uostas“.	lt	different-language
00c4fa3b2bddc35c974d8026d268bf06367796d68b032de1f493e6ee93bf6b6c	Netrukus šis vardas virto "Viljamu.	lt	grammar-or-spelling
0054b2f721b72661f7a31c6e21bdcbe57d35d116355d6151dc16d75b7418bdf7	Mieste veikė gintaro manufaktūra.	lt	sutrumpinimas dail. n?ra sakinio pabaiga
007a8192cf1ca796e7db9b149b5e30a1cb97887624ab99dac3cc8e50ebe2527f	Langų vitražus kūrė dail.	lt	grammar-or-spelling
012380de4db5ed0686a939e5a8c5ee961e01b612dfb0ef3045aae8a074e56e1e	Analogišku būdų įgyvendinamos ir kitos failų sistemos.	lt	grammar-or-spelling
0037dd915a6c63bc5484859661b47cfe071a4f2e44c50738e9c2fd8b30a7e968	Visos augalo dalis nuodingos.	lt	grammar-or-spelling
00e3f72220f6c937e774f75e0f67aa8c5bfc4515d2e1974d96824fe84545a32c	Kai kuriuose fakultetuose po pirmojo valst.	lt	grammar-or-spelling
008d887740ec2dab52cbba3c1303f3fdfd3d45ba1f3e467f8edb0f91db98c88d	Lt Vidaus reikalų ministerijos garantiją bankams.	lt	grammar-or-spelling
01067df447ca0cde9c7b26746e69a678b027abc3d38c276545b3fc1da875440a	Jusufas Abu Jakubas buvo Abu Jusufo Jakubo sūnus.	lt	difficult-pronounce
0017c6d1b50e72781944700b38d2b566cf2b048908726478c6ddc15819a20d53	Maži acto rūgšties kiekiai yra naudojama vyno pramonėje.	lt	grammar-or-spelling
007a8192cf1ca796e7db9b149b5e30a1cb97887624ab99dac3cc8e50ebe2527f	Langų vitražus kūrė dail.	lt	grammar-or-spelling
0037dd915a6c63bc5484859661b47cfe071a4f2e44c50738e9c2fd8b30a7e968	Visos augalo dalis nuodingos.	lt	grammar-or-spelling
01067df447ca0cde9c7b26746e69a678b027abc3d38c276545b3fc1da875440a	Jusufas Abu Jakubas buvo Abu Jusufo Jakubo sūnus.	lt	difficult-pronounce
012380de4db5ed0686a939e5a8c5ee961e01b612dfb0ef3045aae8a074e56e1e	Analogišku būdų įgyvendinamos ir kitos failų sistemos.	lt	grammar-or-spelling
007a8192cf1ca796e7db9b149b5e30a1cb97887624ab99dac3cc8e50ebe2527f	Langų vitražus kūrė dail.	lt	grammar-or-spelling
0087d3951fd291db6dcd397f06ee6c277128f4022579c1fc68f30be023a4eabf	Šios dvi karališkosios figūros buvo esminiai šv.	lt	grammar-or-spelling
01067df447ca0cde9c7b26746e69a678b027abc3d38c276545b3fc1da875440a	Jusufas Abu Jakubas buvo Abu Jusufo Jakubo sūnus.	lt	difficult-pronounce
000250dd730b85a4dd17224a8e6c77346d4c9b5cc42bb243741789dd0c3b7b90	X a. ant Olimpo kalno gyveno šv.	lt	grammar-or-spelling
00e3f72220f6c937e774f75e0f67aa8c5bfc4515d2e1974d96824fe84545a32c	Kai kuriuose fakultetuose po pirmojo valst.	lt	grammar-or-spelling
0160699a39e9446927f11eaa34215012335fffeabf11bdb7bedc82ae83b0f9a8	Dėl to kilo Vl.	lt	grammar-or-spelling
008d887740ec2dab52cbba3c1303f3fdfd3d45ba1f3e467f8edb0f91db98c88d	Lt Vidaus reikalų ministerijos garantiją bankams.	lt	grammar-or-spelling
012688dbeedc319adec45757698484570206b8c6bf0c6778869f612aa5e7ab35	Linksma kelionių knyga".	lt	grammar-or-spelling
01a1e02811a205feb9f88c35ac5cffa1ba34812a8656a67be48a1b2f917c3275	Jo palaikus į Romos šv.	lt	grammar-or-spelling
00a1d6267be9331bdf80c2509fb21ed731799a32d4079babb16064314545026c	Jis buvo kilęs iš turtingos šeimos ir tai leido jam leido įgyti gerą išsilavinimą.	lt	grammar-or-spelling
007a8192cf1ca796e7db9b149b5e30a1cb97887624ab99dac3cc8e50ebe2527f	Langų vitražus kūrė dail.	lt	grammar-or-spelling
019cf2484b1b920d2d90217778f5c18a9c3a5bf00aa8b0211da70ca322b0b232	Fondas taip pat remia išskirtines studijas vad.	lt	grammar-or-spelling
01cdbb6debd1438da003efa3b63af3e5bf7c907e9421c64dd78fa5a2e1fe4fb8	Išvertė į ispanų k. lietuviškų leidinių.	lt	grammar-or-spelling
01a1e02811a205feb9f88c35ac5cffa1ba34812a8656a67be48a1b2f917c3275	Jo palaikus į Romos šv.	lt	grammar-or-spelling
008d887740ec2dab52cbba3c1303f3fdfd3d45ba1f3e467f8edb0f91db98c88d	Lt Vidaus reikalų ministerijos garantiją bankams.	lt	grammar-or-spelling
018f4604086bc920e2944ad9b28c5914e2a10c572d687af6ae8b19175a8135b6	Hortenzijos žydi nuo birželio iki rugsėjo mėnesių.	lt	grammar-or-spelling
01573a7764f5548544cb4fbb7f3c3af9234b73525cd70261eb55478421c9c8ad	Senąja bulgarų kalba "„lev“" reiškia "„liūtas“".	lt	grammar-or-spelling
02f0b0daed74c8e879c10f8135455451aef815562187d293ad67693461d0deb5	Prieš bažnyčią esančioje aikštelėje yra mūrinė kolona su šv.	lt	grammar-or-spelling
01573a7764f5548544cb4fbb7f3c3af9234b73525cd70261eb55478421c9c8ad	Senąja bulgarų kalba "„lev“" reiškia "„liūtas“".	lt	grammar-or-spelling
02a1169a30b295bcdc4de69c4eab81d00f3c47fd00a7f951d198d026f6a61907	Rasti X a.	lt	grammar-or-spelling
02e1f3fa32e48d763cc0f8fb63e5d3f7d6550834d41c2f6568a4f43824bc0d3c	Ta proga koplyčioje aukojamos šv.	lt	grammar-or-spelling
01cf92057e6a427d3fa0f891eaeac776cf543d492fb59e58d7ac5ef348295dda	Tam tikrą informatorių grupę sudaro taip vad.	lt	grammar-or-spelling
02e1f3fa32e48d763cc0f8fb63e5d3f7d6550834d41c2f6568a4f43824bc0d3c	Ta proga koplyčioje aukojamos šv.	lt	grammar-or-spelling
0478cdbc08e8849da5033c8d92cce214bacbbe2f6bc6627d08c63657d1612446	Šarlotė palaidota šeimos kriptoje šv.	lt	grammar-or-spelling
02a8aab55cfa649fe2cd75d4944052f42ec60e7bee82425c4b183d73950d9e6c	Valdovai tituluoti "bur".	lt	grammar-or-spelling
03283a0ca1df0b1e580ecc0e7f33b2e2c62dffb2e27a075c8f00386889e919ee	Dirbo Prahos arkivyskupijoje.	lt	grammar-or-spelling
